window,regime,model,symbol,exit_reason,entry_date,exit_date,entry_price,exit_price,gross_return,net_return,shares,cost_ratio
2022 Bear,bear,10d_15%,001317.SZ,matured,2022-01-05,2022-01-12,80.0,84.1,0.05125000000000002,0.04815000000000002,7500,0.0031
2022 Bear,bear,10d_15%,000503.SZ,stop_loss,2022-01-10,2022-01-13,15.67,14.8865,-0.05,-0.0531,7600,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-01-17,2022-01-24,5.65,6.48,0.14690265486725673,0.14380265486725674,54200,0.0031
2022 Bear,bear,10d_15%,000711.SZ,stop_loss,2022-01-24,2022-01-25,3.88,3.686,-0.05,-0.0531,164900,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-25,2022-01-27,7.23,6.8685,-0.05,-0.0531,42800,0.0031
2022 Bear,bear,10d_15%,000004.SZ,stop_loss,2022-01-26,2022-01-27,23.0,21.849999999999998,-0.05,-0.0531,9400,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-01-27,2022-02-07,5.86,5.567,-0.05,-0.0531,25700,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-01-27,2022-02-07,3.2,3.04,-0.05,-0.0531,47000,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-02-07,2022-02-08,5.65,5.3675,-0.05,-0.0531,52400,0.0031
2022 Bear,bear,10d_15%,002316.SZ,stop_loss,2022-02-09,2022-02-10,6.98,6.631,-0.05,-0.0531,14600,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-02-10,2022-02-11,3.83,3.6385,-0.05,-0.0531,45100,0.0031
2022 Bear,bear,10d_15%,000519.SZ,matured,2022-02-08,2022-02-15,18.6,19.58,0.05268817204301057,0.049588172043010574,15600,0.0031
2022 Bear,bear,10d_15%,002037.SZ,matured,2022-02-09,2022-02-16,16.31,19.28,0.1820968730839978,0.1789968730839978,6200,0.0031
2022 Bear,sideways,5d_10%,002330.SZ,stop_loss,2022-02-14,2022-02-18,8.45,8.027499999999998,-0.05,-0.0531,20100,0.0031
2022 Bear,bear,10d_15%,000620.SZ,stop_loss,2022-02-21,2022-02-22,3.4,3.23,-0.05,-0.0531,69400,0.0031
2022 Bear,bear,10d_15%,002037.SZ,stop_loss,2022-02-18,2022-02-24,15.88,15.086,-0.05,-0.0531,37000,0.0031
2022 Bear,bear,10d_15%,002037.SZ,stop_loss,2022-02-24,2022-02-28,13.66,12.977,-0.05,-0.0531,18100,0.0031
2022 Bear,sideways,5d_10%,001227.SZ,matured,2022-02-22,2022-03-01,5.64,5.61,-0.005319148936170137,-0.008419148936170138,20200,0.0031
2022 Bear,sideways,5d_10%,002037.SZ,stop_loss,2022-02-28,2022-03-03,13.45,12.777499999999998,-0.05,-0.0531,18000,0.0031
2022 Bear,severe_bear,5d_10%,000953.SZ,matured,2022-03-04,2022-03-11,9.17,9.47,0.03271537622682663,0.029615376226826633,59600,0.0031
2022 Bear,severe_bear,5d_10%,000788.SZ,matured,2022-03-11,2022-03-18,10.91,14.0,0.2832263978001832,0.2801263978001832,12700,0.0031
2022 Bear,severe_bear,5d_10%,000619.SZ,stop_loss,2022-03-21,2022-03-22,7.59,7.2105,-0.05,-0.0531,19000,0.0031
2022 Bear,severe_bear,5d_10%,000797.SZ,matured,2022-04-01,2022-04-12,4.71,4.62,-0.019108280254777066,-0.022208280254777064,61000,0.0031
2022 Bear,severe_bear,5d_10%,000736.SZ,matured,2022-04-06,2022-04-13,17.11,20.18,0.17942723553477502,0.17632723553477503,23500,0.0031
2022 Bear,severe_bear,5d_10%,000514.SZ,stop_loss,2022-04-20,2022-04-22,6.01,5.709499999999999,-0.05,-0.0531,25500,0.0031
2022 Bear,severe_bear,5d_10%,000514.SZ,matured,2022-04-25,2022-05-05,4.76,5.49,0.15336134453781525,0.15026134453781526,31900,0.0031
2022 Bear,severe_bear,5d_10%,001228.SZ,matured,2022-04-29,2022-05-11,48.25,70.65,0.46424870466321266,0.46114870466321267,2600,0.0031
2022 Bear,severe_bear,5d_10%,000926.SZ,stop_loss,2022-05-16,2022-05-17,7.2,6.84,-0.05,-0.0531,22800,0.0031
2022 Bear,severe_bear,5d_10%,001318.SZ,matured,2022-05-20,2022-05-27,14.98,21.93,0.46395193591455275,0.46085193591455276,21700,0.0031
2022 Bear,severe_bear,5d_10%,000957.SZ,matured,2022-05-20,2022-05-27,8.4,12.41,0.47738095238095224,0.47428095238095225,38800,0.0031
2022 Bear,sideways,5d_10%,000420.SZ,stop_loss,2022-05-30,2022-05-31,4.1,3.8949999999999996,-0.05,-0.0531,172900,0.0031
2022 Bear,sideways,5d_10%,002229.SZ,stop_loss,2022-06-01,2022-06-02,6.56,6.231999999999999,-0.05,-0.0531,104600,0.0031
2022 Bear,recovery,5d_10%,000909.SZ,stop_loss,2022-06-02,2022-06-06,14.7,13.964999999999998,-0.05,-0.0531,22600,0.0031
2022 Bear,recovery,5d_10%,000595.SZ,matured,2022-05-27,2022-06-06,5.94,7.11,0.19696969696969702,0.19386969696969703,35100,0.0031
2022 Bear,recovery,5d_10%,000868.SZ,stop_loss,2022-06-02,2022-06-07,6.36,6.042,-0.05,-0.0531,52200,0.0031
2022 Bear,bull,5d_10%,000633.SZ,stop_loss,2022-06-16,2022-06-17,7.54,7.162999999999999,-0.05,-0.0531,13900,0.0031
2022 Bear,bull,5d_10%,000595.SZ,stop_loss,2022-06-16,2022-06-21,5.36,5.092,-0.05,-0.0531,19600,0.0031
2022 Bear,bull,5d_10%,001270.SZ,matured,2022-06-15,2022-06-22,66.92,93.52,0.39748953974895396,0.39438953974895397,15800,0.0031
2022 Bear,bull,5d_10%,000595.SZ,stop_loss,2022-06-21,2022-06-23,5.01,4.759499999999999,-0.05,-0.0531,20800,0.0031
2022 Bear,bull,5d_10%,000802.SZ,matured,2022-06-17,2022-06-24,4.48,4.65,0.0379464285714286,0.034846428571428605,27100,0.0031
2022 Bear,bull,5d_10%,000595.SZ,stop_loss,2022-06-23,2022-06-28,4.99,4.7405,-0.05,-0.0531,64700,0.0031
2022 Bear,bull,5d_10%,000821.SZ,stop_loss,2022-06-28,2022-06-29,25.05,23.7975,-0.05,-0.0531,5400,0.0031
2022 Bear,bull,5d_10%,001226.SZ,matured,2022-06-22,2022-06-29,39.06,52.18,0.33589349718381967,0.3327934971838197,15300,0.0031
2022 Bear,bull,5d_10%,001270.SZ,matured,2022-06-22,2022-06-29,99.5,100.0,0.005025125628140614,0.0019251256281406144,6000,0.0031
2022 Bear,bull,5d_10%,002168.SZ,stop_loss,2022-06-28,2022-06-30,4.18,3.9709999999999996,-0.05,-0.0531,32600,0.0031
2022 Bear,bull,5d_10%,001270.SZ,stop_loss,2022-07-04,2022-07-05,98.02,93.11899999999999,-0.05,-0.0531,500,0.0031
2022 Bear,bull,5d_10%,000970.SZ,matured,2022-06-28,2022-07-05,18.1,18.49,0.021546961325966674,0.018446961325966675,7500,0.0031
2022 Bear,bull,5d_10%,002090.SZ,stop_loss,2022-07-06,2022-07-07,13.03,12.378499999999999,-0.05,-0.0531,2600,0.0031
2022 Bear,bull,5d_10%,001268.SZ,matured,2022-06-30,2022-07-07,30.49,37.21,0.22040013119055435,0.21730013119055436,46100,0.0031
2022 Bear,bull,5d_10%,001309.SZ,matured,2022-07-01,2022-07-08,42.04,61.55,0.46408182683158894,0.46098182683158895,6600,0.0031
2022 Bear,recovery,5d_10%,001270.SZ,stop_loss,2022-07-05,2022-07-11,91.05,86.49749999999999,-0.05,-0.0531,900,0.0031
2022 Bear,recovery,5d_10%,000957.SZ,stop_loss,2022-07-07,2022-07-11,19.11,18.1545,-0.05,-0.0531,73400,0.0031
2022 Bear,recovery,5d_10%,001309.SZ,stop_loss,2022-07-08,2022-07-11,67.69,64.3055,-0.05,-0.0531,8900,0.0031
2022 Bear,recovery,5d_10%,001318.SZ,matured,2022-07-05,2022-07-12,19.22,19.17,-0.002601456815816694,-0.005701456815816694,4300,0.0031
2022 Bear,sideways,5d_10%,002591.SZ,stop_loss,2022-07-18,2022-07-19,9.99,9.490499999999999,-0.05,-0.0531,132900,0.0031
2022 Bear,sideways,5d_10%,002168.SZ,stop_loss,2022-07-21,2022-07-25,5.9,5.605,-0.05,-0.0531,72600,0.0031
2022 Bear,sideways,5d_10%,000957.SZ,matured,2022-07-21,2022-07-28,17.67,17.81,0.007923033389926282,0.004823033389926281,24200,0.0031
2022 Bear,sideways,5d_10%,002316.SZ,matured,2022-07-21,2022-07-28,3.46,3.91,0.13005780346820806,0.12695780346820806,123800,0.0031
2022 Bear,bear,10d_15%,001336.SZ,matured,2022-07-25,2022-08-01,36.37,36.51,0.003849326367885597,0.0007493263678855972,20800,0.0031
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-07-27,2022-08-03,5.36,7.85,0.46455223880596996,0.46145223880596997,56500,0.0031
2022 Bear,bear,10d_15%,001226.SZ,matured,2022-08-02,2022-08-09,34.47,34.7,0.006672468813461174,0.0035724688134611744,16300,0.0031
2022 Bear,bear,10d_15%,001258.SZ,matured,2022-08-03,2022-08-10,8.64,12.65,0.46412037037037024,0.46102037037037025,60900,0.0031
2022 Bear,sideways,5d_10%,000536.SZ,stop_loss,2022-08-15,2022-08-16,2.65,2.5174999999999996,-0.05,-0.0531,405800,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-10,2022-08-17,13.92,18.34,0.31752873563218387,0.3144287356321839,55100,0.0031
2022 Bear,sideways,5d_10%,301306.SZ,stop_loss,2022-08-24,2022-08-25,48.41,45.98949999999999,-0.05,-0.0531,6700,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-18,2022-08-25,7.96,11.66,0.46482412060301503,0.46172412060301504,103400,0.0031
2022 Bear,sideways,5d_10%,000045.SZ,matured,2022-08-18,2022-08-25,10.6,10.62,0.0018867924528300772,-0.0012132075471699227,77600,0.0031
2022 Bear,sideways,5d_10%,002115.SZ,stop_loss,2022-08-31,2022-09-01,5.59,5.310499999999999,-0.05,-0.0531,44300,0.0031
2022 Bear,sideways,5d_10%,001330.SZ,matured,2022-08-25,2022-09-01,12.83,13.8,0.07560405300077955,0.07250405300077954,72600,0.0031
2022 Bear,sideways,5d_10%,001258.SZ,matured,2022-08-25,2022-09-01,14.31,15.95,0.11460517120894465,0.11150517120894464,65100,0.0031
2022 Bear,sideways,5d_10%,000892.SZ,stop_loss,2022-08-31,2022-09-06,5.35,5.0825,-0.05,-0.0531,46300,0.0031
2022 Bear,sideways,5d_10%,001259.SZ,matured,2022-08-31,2022-09-07,31.28,31.8,0.01662404092071612,0.01352404092071612,7900,0.0031
2022 Bear,sideways,5d_10%,301306.SZ,matured,2022-09-02,2022-09-09,43.46,47.32,0.08881730326737225,0.08571730326737224,19100,0.0031
2022 Bear,bear,10d_15%,001332.SZ,stop_loss,2022-09-22,2022-09-28,82.37,78.25150000000001,-0.05,-0.0531,12100,0.0031
2022 Bear,bear,10d_15%,001330.SZ,stop_loss,2022-09-23,2022-09-29,10.44,9.918,-0.05,-0.0531,66800,0.0031
2022 Bear,bear,10d_15%,001330.SZ,stop_loss,2022-09-29,2022-10-10,9.75,9.2625,-0.05,-0.0531,99500,0.0031
2022 Bear,bear,10d_15%,001255.SZ,matured,2022-09-30,2022-10-14,31.32,33.05,0.05523627075351212,0.05213627075351212,10800,0.0031
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-09-30,2022-10-14,24.79,36.3,0.46430012101653895,0.46120012101653896,13600,0.0031
2022 Bear,bear,10d_15%,001330.SZ,matured,2022-10-10,2022-10-17,8.85,9.07,0.02485875706214702,0.02175875706214702,84900,0.0031
2022 Bear,bear,10d_15%,001269.SZ,matured,2022-10-14,2022-10-21,39.93,58.45,0.4638116704232407,0.4607116704232407,19500,0.0031
2022 Bear,severe_bear,5d_10%,001259.SZ,stop_loss,2022-10-21,2022-10-25,29.9,28.404999999999998,-0.05,-0.0531,37400,0.0031
